"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"9JoB8e",1,1,2018,194,"Trinidad and Tobago","TRT","TTO",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,2,2019,194,"Trinidad and Tobago","TRT","TTO",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,3,2019,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,4,2020,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,5,2021,80,"Guyana","GUY","GUY",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,6,2021,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,7,2023,80,"Guyana","GUY","GUY",15,"Barbados","BAR","BRB",5,"0","0","0","0","0","0","-","0"
1,"9JoB8e",1,8,2023,95,"Jamaica","JAM","JAM",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,9,2023,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
1,"9JoB8e",1,10,2024,95,"Jamaica","JAM","JAM",15,"Barbados","BAR","BRB",5,"0","0","0","0","0","0","-","0"
1,"9JoB8e",1,11,2024,207,"Venezuela (Bolivarian Republic of)","VEN","VEN",15,"Barbados","BAR","BRB","0",5,"0","0","0","0","0","-","0"
