"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"B0kggX",1,1,2009,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,2,2010,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,3,2011,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,4,2012,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",7,"0","0","0","0","0","-","-"
1,"B0kggX",1,5,2013,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",7,"0","0","0","0","0","-","-"
1,"B0kggX",1,6,2014,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,7,2015,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,8,2016,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,9,2017,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,5,"0","0","0","0","0","-","-"
1,"B0kggX",1,10,2018,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",7,"0","0","0","0","0","-","-"
1,"B0kggX",1,11,2019,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",5,5,"0","0","0","0","0","-","-"
1,"B0kggX",1,12,2020,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",8,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,13,2021,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",8,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,14,2022,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",5,8,"0","0","0","0","0","-","0"
1,"B0kggX",1,15,2023,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",11,"0","0","0","0","0","0","-","0"
1,"B0kggX",1,16,2018,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,17,2019,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,18,2020,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,19,2021,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,20,2014,109,"Lebanon","LEB","LBN",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,21,1995,112,"Sri Lanka","LKA","LKA",60,"Fiji","FIJ","FJI",9,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,22,1996,112,"Sri Lanka","LKA","LKA",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,23,2017,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,24,2018,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,25,2019,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,26,2020,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI",6,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,27,2021,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0","-","-"
1,"B0kggX",1,28,2008,160,"Russian Federation","RUS","RUS",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","-"
1,"B0kggX",1,29,2023,185,"Syrian Arab Rep.","SYR","SYR",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","0"
1,"B0kggX",1,30,2022,193,"Tonga","TON","TON",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0","-","0"
1,"B0kggX",1,31,2023,193,"Tonga","TON","TON",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0","-","0"
1,"B0kggX",1,32,2014,200,"Ukraine","UKR","UKR",60,"Fiji","FIJ","FJI","0",6,"0","0","0","0","0","-","-"
1,"B0kggX",1,33,2015,200,"Ukraine","UKR","UKR",60,"Fiji","FIJ","FJI","0",6,"0","0","0","0","0","-","-"
