"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"r1lQT3",1,1,1995,112,"Sri Lanka","LKA","LKA",60,"Fiji","FIJ","FJI",9,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,2,1996,112,"Sri Lanka","LKA","LKA",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,3,2008,160,"Russian Federation","RUS","RUS",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,4,2009,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,5,2010,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,6,2011,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,7,2012,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",7,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,8,2013,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",7,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,9,2014,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,10,2014,109,"Lebanon","LEB","LBN",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,11,2014,200,"Ukraine","UKR","UKR",60,"Fiji","FIJ","FJI","0",6,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,12,2015,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,13,2015,200,"Ukraine","UKR","UKR",60,"Fiji","FIJ","FJI","0",6,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,14,2016,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,15,2017,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,16,2017,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,17,2018,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI","0",7,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,18,2018,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,19,2018,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,20,2019,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",5,5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,21,2019,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,22,2019,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,23,2020,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",8,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,24,2020,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI","0",5,"0","0","0","0","0",null,"0"
1,"r1lQT3",1,25,2020,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI",6,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,26,2021,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",8,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,27,2021,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,28,2021,147,"Pakistan","PAK","PAK",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,29,2022,2,"Afghanistan","AFG","AFG",60,"Fiji","FIJ","FJI",7,"0","0","0","0","0","0",null,"0"
1,"r1lQT3",1,30,2022,20,"Bangladesh","BGD","BGD",60,"Fiji","FIJ","FJI",5,"0","0","0","0","0","0",null,"0"
