"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"TaVY8p",1,1,1997,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",6,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,2,1998,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",5,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,3,2001,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,4,2002,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,5,2003,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,6,2004,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,7,2007,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,8,2008,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",6,"0","0","0","0","0","-","0"
1,"TaVY8p",1,9,2009,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",15,"0","0","0","0","0","-","0"
1,"TaVY8p",1,10,2010,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",6,6,"0","0","0","0","0","-","0"
1,"TaVY8p",1,11,2011,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",7,5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,12,2012,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",7,5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,13,2013,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",5,5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,14,2014,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",5,5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,15,2015,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG","0",8,"0","0","0","0","0","-","0"
1,"TaVY8p",1,16,2019,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",5,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,17,2020,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",10,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,18,2021,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",11,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,19,2022,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",11,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,20,2023,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",12,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,21,2024,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",13,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,22,2025,2,"Afghanistan","AFG","AFG",82,"China, Hong Kong SAR","HKG","HKG",8,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,23,2015,4,"Algeria","ALG","DZA",82,"China, Hong Kong SAR","HKG","HKG","0",7,"0","0","0","0","0","-","0"
1,"TaVY8p",1,24,2004,6,"Angola","ANG","AGO",82,"China, Hong Kong SAR","HKG","HKG","0",12,"0","0","0","0","0","-","0"
1,"TaVY8p",1,25,2005,6,"Angola","ANG","AGO",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,26,2006,6,"Angola","ANG","AGO",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,27,2008,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,28,2009,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG","0",7,"0","0","0","0","0","-","0"
1,"TaVY8p",1,29,2010,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",6,10,"0","0","0","0","0","-","0"
1,"TaVY8p",1,30,2011,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",6,18,"0","0","0","0","0","-","0"
1,"TaVY8p",1,31,2012,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG","0",16,"0","0","0","0","0","-","0"
1,"TaVY8p",1,32,2013,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG","0",22,"0","0","0","0","0","-","0"
1,"TaVY8p",1,33,2014,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",8,21,"0","0","0","0","0","-","0"
1,"TaVY8p",1,34,2015,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",5,27,"0","0","0","0","0","-","0"
1,"TaVY8p",1,35,2017,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",5,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,36,2018,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",5,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,37,2019,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",5,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,38,2020,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",15,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,39,2021,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",13,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,40,2022,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",13,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,41,2023,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",19,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,42,2024,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",19,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,43,2025,8,"Egypt","ARE","EGY",82,"China, Hong Kong SAR","HKG","HKG",19,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,44,2004,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",5,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,45,2005,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",5,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,46,2018,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",11,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,47,2019,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",12,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,48,2020,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",12,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,49,2021,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",12,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,50,2022,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",9,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,51,2023,16,"Burundi","BDI","BDI",82,"China, Hong Kong SAR","HKG","HKG",7,"0","0","0","0","0","0","-","0"
1,"TaVY8p",1,52,2011,18,"Benin","BEN","BEN",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,53,2013,18,"Benin","BEN","BEN",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,54,2014,18,"Benin","BEN","BEN",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
1,"TaVY8p",1,55,2015,18,"Benin","BEN","BEN",82,"China, Hong Kong SAR","HKG","HKG","0",5,"0","0","0","0","0","-","0"
