"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"Nm5lw4",1,1,1970,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",70,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,2,1971,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",190,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,3,1972,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",60,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,4,1973,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",180,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,5,1974,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",190,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,6,1975,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",190,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,7,1976,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",900,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,8,1977,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",930,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,9,1977,262,"Unknown ","UKN","UNK",110,"Lesotho","LES","LSO",200,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,10,1978,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",990,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,11,1979,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",500,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,12,1979,262,"Unknown ","UKN","UNK",110,"Lesotho","LES","LSO",190,"0",50,"0","0","0","0","-","0"
1,"Nm5lw4",1,13,1980,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",10000,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,14,1981,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",11500,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,15,1982,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",11500,"0",80,"0","0","0","0","-","0"
1,"Nm5lw4",1,16,1983,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",11500,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,17,1984,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",11660,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,18,1984,262,"Unknown ","UKN","UNK",110,"Lesotho","LES","LSO",190,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,19,1985,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",11500,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,20,1986,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",11500,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,21,1987,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",4000,"0","0","0","0","0","0","-","0"
1,"Nm5lw4",1,22,1988,159,"South Africa","RSA","ZAF",110,"Lesotho","LES","LSO",4230,"0","0","0","0","0","0","-","0"
