"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"f8k39X",1,1,2024,2,"Afghanistan","AFG","AFG",182,"Eswatini","SWA","SWZ","0",5,"0","0","0","0","0","-","0"
1,"f8k39X",1,2,2025,2,"Afghanistan","AFG","AFG",182,"Eswatini","SWA","SWZ","0",9,"0","0","0","0","0","-","0"
1,"f8k39X",1,3,1993,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",120,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,4,1994,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",142,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,5,1995,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",125,"0",15,"0","0","0","0","-","0"
1,"f8k39X",1,6,1996,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",121,"0",6,"0","0","0","0","-","0"
1,"f8k39X",1,7,1997,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",121,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,8,1998,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",93,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,9,1999,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",94,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,10,2000,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",99,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,11,2001,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",99,38,"0","0","0","0","0","-","0"
1,"f8k39X",1,12,2002,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",93,38,"0","0","0","0","0","-","0"
1,"f8k39X",1,13,2003,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,39,"0","0","0","0","0","-","0"
1,"f8k39X",1,14,2004,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,37,"0","0","0","0","0","-","0"
1,"f8k39X",1,15,2005,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,37,"0","0","0","0","0","-","0"
1,"f8k39X",1,16,2006,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,37,"0","0","0","0","0","-","0"
1,"f8k39X",1,17,2007,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,43,"0","0","0","0","0","-","0"
1,"f8k39X",1,18,2008,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,43,"0","0","0","0","0","-","0"
1,"f8k39X",1,19,2009,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,43,"0","0","0","0","0","-","0"
1,"f8k39X",1,20,2010,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,21,2011,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",95,"0","0","0","0","0","0","-","0"
1,"f8k39X",1,22,2012,6,"Angola","ANG","AGO",182,"Eswatini","SWA","SWZ",12,"0","0","0","0","0","0","-","0"
