"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"1NPAdS",1,1,1996,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",125,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,2,1997,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",151,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,3,1998,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",166,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,4,1999,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",174,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,5,2000,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",192,395,"0","0","0","0","0","-","-"
1,"1NPAdS",1,6,2001,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",199,133,"0","0","0","0","0","-","-"
1,"1NPAdS",1,7,2002,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",216,47,"0","0","0","0","0","-","-"
1,"1NPAdS",1,8,2003,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",240,23,"0","0","0","0","0","-","-"
1,"1NPAdS",1,9,2004,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",247,12,"0","0","0","0","0","-","-"
1,"1NPAdS",1,10,2005,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",241,5,"0","0","0","0","0","-","-"
1,"1NPAdS",1,11,2006,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",237,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,12,2007,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",242,16,"0","0","0","0","0","-","-"
1,"1NPAdS",1,13,2008,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",226,22,"0","0","0","0","0","-","-"
1,"1NPAdS",1,14,2009,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",222,10,"0","0","0","0","0","-","-"
1,"1NPAdS",1,15,2010,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",224,7,"0","0","0","0","0","-","-"
1,"1NPAdS",1,16,2011,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",224,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,17,2012,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",241,14,"0","0","0","0","0","-","-"
1,"1NPAdS",1,18,2013,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",238,10,"0","0","0","0","0","-","-"
1,"1NPAdS",1,19,2014,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",228,7,"0","0","0","0","0","-","-"
1,"1NPAdS",1,20,2015,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",234,6,"0","0","0","0","0","-","-"
1,"1NPAdS",1,21,2016,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",234,16,"0","0","0","0","0","-","-"
1,"1NPAdS",1,22,2017,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",234,5,"0","0","0","0","0","-","-"
1,"1NPAdS",1,23,2018,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",46,16,"0","0","0","0","0","-","-"
1,"1NPAdS",1,24,2019,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",45,14,"0","0","0","0","0","-","-"
1,"1NPAdS",1,25,2020,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",39,5,"0","0","0","0","0","-","-"
1,"1NPAdS",1,26,2021,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",150,36,"0","0","0","0","0","-","-"
1,"1NPAdS",1,27,2022,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",187,42,"0","0","0","0","0","-","0"
1,"1NPAdS",1,28,2023,2,"Afghanistan","AFG","AFG",49,"Czechia","CZE","CZE",207,50,"0","0","0","0","0","-","0"
1,"1NPAdS",1,29,1996,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",38,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,30,1997,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",46,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,31,1998,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",46,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,32,1999,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",19,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,33,2000,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",18,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,34,2001,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",18,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,35,2002,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",18,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,36,2003,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",15,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,37,2004,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",14,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,38,2005,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",14,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,39,2006,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",13,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,40,2007,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",12,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,41,2008,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",12,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,42,2009,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",12,"0","0","0","0","0","0","-","-"
1,"1NPAdS",1,43,2010,3,"Albania","ALB","ALB",49,"Czechia","CZE","CZE",12,"0","0","0","0","0","0","-","-"
