"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"l9p2TJ",1,1,2002,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV","0",5,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,2,2009,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",5,9,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,3,2010,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",5,16,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,4,2011,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",16,133,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,5,2012,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",19,128,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,6,2013,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",20,11,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,7,2014,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",21,6,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,8,2015,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",22,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,9,2016,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",39,140,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,10,2017,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",45,93,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,11,2018,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",53,21,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,12,2019,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",53,108,"0","0","0","0",13,"-","-"
1,"l9p2TJ",1,13,2020,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",54,351,"0","0","0","0",115,"-","-"
1,"l9p2TJ",1,14,2021,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",93,397,"0","0","0","0",219,"-","-"
1,"l9p2TJ",1,15,2022,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",99,306,"0","0","0","0",11,"-","0"
1,"l9p2TJ",1,16,2023,2,"Afghanistan","AFG","AFG",84,"Croatia","HRV","HRV",99,166,"0","0","0","0",175,"-","0"
1,"l9p2TJ",1,17,2007,3,"Albania","ALB","ALB",84,"Croatia","HRV","HRV","0",5,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,18,2017,3,"Albania","ALB","ALB",84,"Croatia","HRV","HRV","0",5,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,19,2001,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",7,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,20,2002,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",6,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,21,2003,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",11,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,22,2012,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",28,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,23,2013,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",17,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,24,2014,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",13,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,25,2015,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",5,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,26,2016,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",5,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,27,2017,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",20,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,28,2018,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",19,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,29,2019,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",23,"0","0","0","0",5,"-","-"
1,"l9p2TJ",1,30,2020,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",5,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,31,2022,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",6,"0","0","0","0","0","-","0"
1,"l9p2TJ",1,32,2023,4,"Algeria","ALG","DZA",84,"Croatia","HRV","HRV","0",7,"0","0","0","0","0","-","0"
1,"l9p2TJ",1,33,2013,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV","0",5,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,34,2017,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV",5,9,"0","0","0","0","0","-","-"
1,"l9p2TJ",1,35,2018,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV",7,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,36,2019,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV",7,"0","0","0","0","0",5,"-","-"
1,"l9p2TJ",1,37,2020,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV",8,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,38,2021,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV",8,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,39,2022,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV",8,"0","0","0","0","0","0","-","0"
1,"l9p2TJ",1,40,2023,8,"Egypt","ARE","EGY",84,"Croatia","HRV","HRV",8,"0","0","0","0","0","0","-","0"
1,"l9p2TJ",1,41,2000,10,"Armenia","ARM","ARM",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,42,2022,10,"Armenia","ARM","ARM",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","0"
1,"l9p2TJ",1,43,2023,10,"Armenia","ARM","ARM",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","0"
1,"l9p2TJ",1,44,2015,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,45,2016,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,46,2017,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,47,2018,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,48,2019,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,49,2020,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,50,2021,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",5,"0","0","0","0","0","0","-","-"
1,"l9p2TJ",1,51,2022,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",8,"0","0","0","0","0","0","-","0"
1,"l9p2TJ",1,52,2023,13,"Azerbaijan","AZE","AZE",84,"Croatia","HRV","HRV",9,"0","0","0","0","0","0","-","0"
