"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"lR02xO",1,1,2023,34,"Central African Rep.","CAR","CAF",42,"Comoros","COI","COM","0","0",5,"0","0","0","0","-","0"
1,"lR02xO",1,2,2000,40,"Congo","COB","COG",42,"Comoros","COI","COM",5,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,3,2001,40,"Congo","COB","COG",42,"Comoros","COI","COM",5,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,4,2002,40,"Congo","COB","COG",42,"Comoros","COI","COM","0","0",5,"0","0","0","0","-","0"
1,"lR02xO",1,5,2001,41,"Dem. Rep. of the Congo","COD","COD",42,"Comoros","COI","COM",7,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,6,2021,41,"Dem. Rep. of the Congo","COD","COD",42,"Comoros","COI","COM",27,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,7,2022,41,"Dem. Rep. of the Congo","COD","COD",42,"Comoros","COI","COM",12,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,8,2023,41,"Dem. Rep. of the Congo","COD","COD",42,"Comoros","COI","COM",5,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,9,2024,41,"Dem. Rep. of the Congo","COD","COD",42,"Comoros","COI","COM","0",5,"0","0","0","0","0","-","0"
1,"lR02xO",1,10,2025,41,"Dem. Rep. of the Congo","COD","COD",42,"Comoros","COI","COM","0",5,"0","0","0","0","0","-","0"
1,"lR02xO",1,11,1992,106,"Liberia","LBR","LBR",42,"Comoros","COI","COM","0","0",350,"0","0","0","0","-","0"
1,"lR02xO",1,12,2000,161,"Rwanda","RWA","RWA",42,"Comoros","COI","COM",8,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,13,2024,177,"Sudan","SUD","SDN",42,"Comoros","COI","COM","0",8,"0","0","0","0","0","-","0"
1,"lR02xO",1,14,2025,177,"Sudan","SUD","SDN",42,"Comoros","COI","COM","0",8,"0","0","0","0","0","-","0"
1,"lR02xO",1,15,2022,211,"Yemen","YEM","YEM",42,"Comoros","COI","COM","0",5,"0","0","0","0","0","-","0"
1,"lR02xO",1,16,2023,211,"Yemen","YEM","YEM",42,"Comoros","COI","COM",5,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,17,2024,211,"Yemen","YEM","YEM",42,"Comoros","COI","COM",5,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,18,2025,211,"Yemen","YEM","YEM",42,"Comoros","COI","COM",5,"0","0","0","0","0","0","-","0"
1,"lR02xO",1,19,1990,262,"Unknown ","UKN","UNK",42,"Comoros","COI","COM","0","0",60,"0","0","0","0","-","0"
1,"lR02xO",1,20,1999,262,"Unknown ","UKN","UNK",42,"Comoros","COI","COM",9,"0","0","0","0","0","0","-","0"
