"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"1q1kAE",1,1,2011,34,"Central African Rep.","CAR","CAF",179,"South Sudan","SSD","SSD",1025,"0","0","0","0","0","0",null,"0"
1,"1q1kAE",1,2,2011,41,"Dem. Rep. of the Congo","COD","COD",179,"South Sudan","SSD","SSD",22186,"0","0","0","0","0","0",null,"0"
1,"1q1kAE",1,3,2011,58,"Ethiopia","ETH","ETH",179,"South Sudan","SSD","SSD",4967,85,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,4,2011,179,"South Sudan","SSD","SSD",179,"South Sudan","SSD","SSD","0","0","0",560161,"0","0","0",null,"0"
1,"1q1kAE",1,5,2011,177,"Sudan","SUD","SDN",179,"South Sudan","SSD","SSD",76845,5,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,6,2012,34,"Central African Rep.","CAR","CAF",179,"South Sudan","SSD","SSD",1560,5,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,7,2012,41,"Dem. Rep. of the Congo","COD","COD",179,"South Sudan","SSD","SSD",18296,8,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,8,2012,56,"Eritrea","ERT","ERI",179,"South Sudan","SSD","SSD","0",8,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,9,2012,58,"Ethiopia","ETH","ETH",179,"South Sudan","SSD","SSD",5891,11,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,10,2012,179,"South Sudan","SSD","SSD",179,"South Sudan","SSD","SSD","0","0","0",345670,"0","0","0",null,"0"
1,"1q1kAE",1,11,2012,177,"Sudan","SUD","SDN",179,"South Sudan","SSD","SSD",176834,"0","0","0","0","0","0",null,"0"
1,"1q1kAE",1,12,2013,34,"Central African Rep.","CAR","CAF",179,"South Sudan","SSD","SSD",1634,5,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,13,2013,40,"Congo","COB","COG",179,"South Sudan","SSD","SSD","0",8,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,14,2013,41,"Dem. Rep. of the Congo","COD","COD",179,"South Sudan","SSD","SSD",13933,5,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,15,2013,56,"Eritrea","ERT","ERI",179,"South Sudan","SSD","SSD","0",5,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,16,2013,58,"Ethiopia","ETH","ETH",179,"South Sudan","SSD","SSD",5890,8,5,"0","0","0","0",null,"0"
1,"1q1kAE",1,17,2013,161,"Rwanda","RWA","RWA",179,"South Sudan","SSD","SSD","0",5,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,18,2013,179,"South Sudan","SSD","SSD",179,"South Sudan","SSD","SSD","0","0","0",331097,"0","0","0",null,"0"
1,"1q1kAE",1,19,2013,177,"Sudan","SUD","SDN",179,"South Sudan","SSD","SSD",208130,"0","0","0","0","0","0",null,"0"
1,"1q1kAE",1,20,2014,34,"Central African Rep.","CAR","CAF",179,"South Sudan","SSD","SSD",2040,5,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,21,2014,41,"Dem. Rep. of the Congo","COD","COD",179,"South Sudan","SSD","SSD",15485,5,2514,"0","0","0","0",null,"0"
1,"1q1kAE",1,22,2014,56,"Eritrea","ERT","ERI",179,"South Sudan","SSD","SSD","0",17,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,23,2014,58,"Ethiopia","ETH","ETH",179,"South Sudan","SSD","SSD",4900,71,443,"0","0","0","0",null,"0"
1,"1q1kAE",1,24,2014,172,"Somalia","SOM","SOM",179,"South Sudan","SSD","SSD","0",18,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,25,2014,179,"South Sudan","SSD","SSD",179,"South Sudan","SSD","SSD","0","0","0",1645392,200055,"0","0",null,"0"
1,"1q1kAE",1,26,2014,177,"Sudan","SUD","SDN",179,"South Sudan","SSD","SSD",225727,12,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,27,2015,16,"Burundi","BDI","BDI",179,"South Sudan","SSD","SSD","0",377,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,28,2015,34,"Central African Rep.","CAR","CAF",179,"South Sudan","SSD","SSD",1882,"0","0","0","0","0","0",null,"0"
1,"1q1kAE",1,29,2015,41,"Dem. Rep. of the Congo","COD","COD",179,"South Sudan","SSD","SSD",15916,"0",2017,"0","0","0","0",null,"0"
1,"1q1kAE",1,30,2015,56,"Eritrea","ERT","ERI",179,"South Sudan","SSD","SSD",12,157,"0","0","0","0","0",null,"0"
1,"1q1kAE",1,31,2015,58,"Ethiopia","ETH","ETH",179,"South Sudan","SSD","SSD",4200,146,"0","0","0","0","0",null,"0"
