"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"OoD15h",1,1,1993,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",1290000,"0","0","0","-","0"
1,"OoD15h",1,2,1994,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",1282600,"0","0","0","-","0"
1,"OoD15h",1,3,1995,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",1097800,"0","0","0","-","0"
1,"OoD15h",1,4,1996,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",760146,"0","0","0","-","0"
1,"OoD15h",1,5,1997,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",816000,58360,"0","0","-","0"
1,"OoD15h",1,6,1997,84,"Croatia","HRV","HRV",29,"Bosnia and Herzegovina","BSN","BIH",40000,"0","0","0","0","0","0","-","0"
1,"OoD15h",1,7,1998,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",836430,29570,"0","0","-","0"
1,"OoD15h",1,8,1998,84,"Croatia","HRV","HRV",29,"Bosnia and Herzegovina","BSN","BIH",30000,"0",117,"0","0","0","0","-","0"
1,"OoD15h",1,9,1998,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",29,"Bosnia and Herzegovina","BSN","BIH",10000,"0","0","0","0","0","0","-","0"
1,"OoD15h",1,10,1999,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",809545,43385,"0","0","-","0"
1,"OoD15h",1,11,1999,84,"Croatia","HRV","HRV",29,"Bosnia and Herzegovina","BSN","BIH",39591,"0",1078,"0","0","0","0","-","0"
1,"OoD15h",1,12,1999,164,"Serbia and Kosovo: S/RES/1244 (1999)","SRB","SRB",29,"Bosnia and Herzegovina","BSN","BIH",26054,"0",45700,"0","0","0","0","-","0"
1,"OoD15h",1,13,2000,29,"Bosnia and Herzegovina","BSN","BIH",29,"Bosnia and Herzegovina","BSN","BIH","0","0","0",518252,59347,"0","0","-","0"
