"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"APY9pJ",1,1,1993,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL","0","0",13,"0","0","0","0","-","0"
1,"APY9pJ",1,2,1995,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",5,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,3,1996,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",5,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,4,1997,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",6,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,5,1998,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",6,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,6,1999,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",6,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,7,2000,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",6,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,8,2012,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",5,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,9,2013,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",5,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,10,2014,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",5,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,11,2015,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",5,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,12,2016,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",12,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,13,2017,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",13,5,"0","0","0","0","0","-","0"
1,"APY9pJ",1,14,2018,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",14,6,"0","0","0","0","0","-","0"
1,"APY9pJ",1,15,2019,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",14,6,"0","0","0","0","0","-","0"
1,"APY9pJ",1,16,2020,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",9,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,17,2021,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",9,5,"0","0","0","0","0","-","0"
1,"APY9pJ",1,18,2022,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",10,"0","0","0","0","0","0","-","0"
1,"APY9pJ",1,19,2023,2,"Afghanistan","AFG","AFG",151,"Philippines","PHI","PHL",14,6,"0","0","0","0","0","-","0"
1,"APY9pJ",1,20,2020,8,"Egypt","ARE","EGY",151,"Philippines","PHI","PHL","0",5,"0","0","0","0","0","-","0"
1,"APY9pJ",1,21,2021,8,"Egypt","ARE","EGY",151,"Philippines","PHI","PHL","0",5,"0","0","0","0","0","-","0"
1,"APY9pJ",1,22,2022,8,"Egypt","ARE","EGY",151,"Philippines","PHI","PHL","0",9,"0","0","0","0","0","-","0"
1,"APY9pJ",1,23,2023,8,"Egypt","ARE","EGY",151,"Philippines","PHI","PHL",5,12,"0","0","0","0","0","-","0"
