"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"S61opo",1,1,1997,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,2,1998,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",6,"0","0","0","0","0","0","-","0"
1,"S61opo",1,3,1999,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",13,"0","0","0","0","0","0","-","0"
1,"S61opo",1,4,2000,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",19,"0","0","0","0","0","0","-","0"
1,"S61opo",1,5,2001,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",26,"0","0","0","0","0","0","-","0"
1,"S61opo",1,6,2002,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",24,"0","0","0","0","0","0","-","0"
1,"S61opo",1,7,2003,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",23,"0","0","0","0","0","0","-","0"
1,"S61opo",1,8,2004,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",17,"0","0","0","0","0","0","-","0"
1,"S61opo",1,9,2005,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",9,"0","0","0","0","0","0","-","0"
1,"S61opo",1,10,2006,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB","0",5,"0","0","0","0","0","-","0"
1,"S61opo",1,11,2014,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",5,6,"0","0","0","0","0","-","0"
1,"S61opo",1,12,2015,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",14,23,"0","0","0","0","0","-","0"
1,"S61opo",1,13,2016,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",45,"0","0","0","0","0","0","-","0"
1,"S61opo",1,14,2017,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",45,"0","0","0","0","0","0","-","0"
1,"S61opo",1,15,2018,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",42,"0","0","0","0","0","0","-","0"
1,"S61opo",1,16,2019,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",36,"0","0","0","0","0","0","-","0"
1,"S61opo",1,17,2020,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",28,"0","0","0","0","0","0","-","0"
1,"S61opo",1,18,2021,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",17,"0","0","0","0","0","0","-","0"
1,"S61opo",1,19,2022,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",12,"0","0","0","0","0","0","-","0"
1,"S61opo",1,20,2023,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",9,"0","0","0","0","0","0","-","0"
1,"S61opo",1,21,2024,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",8,"0","0","0","0","0","0","-","0"
1,"S61opo",1,22,2025,2,"Afghanistan","AFG","AFG",46,"Cuba","CUB","CUB",7,"0","0","0","0","0","0","-","0"
1,"S61opo",1,23,1996,4,"Algeria","ALG","DZA",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,24,2016,6,"Angola","ANG","AGO",46,"Cuba","CUB","CUB","0",6,"0","0","0","0","0","-","0"
1,"S61opo",1,25,2023,6,"Angola","ANG","AGO",46,"Cuba","CUB","CUB","0",10,"0","0","0","0","0","-","0"
1,"S61opo",1,26,2024,6,"Angola","ANG","AGO",46,"Cuba","CUB","CUB","0",10,"0","0","0","0","0","-","0"
1,"S61opo",1,27,1995,9,"Argentina","ARG","ARG",46,"Cuba","CUB","CUB","0","0",5,"0","0","0","0","-","0"
1,"S61opo",1,28,1996,16,"Burundi","BDI","BDI",46,"Cuba","CUB","CUB",7,"0","0","0","0","0","0","-","0"
1,"S61opo",1,29,1997,16,"Burundi","BDI","BDI",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,30,1998,16,"Burundi","BDI","BDI",46,"Cuba","CUB","CUB",6,"0","0","0","0","0","0","-","0"
1,"S61opo",1,31,1994,27,"Brazil","BRA","BRA",46,"Cuba","CUB","CUB","0","0",5,"0","0","0","0","-","0"
1,"S61opo",1,32,1974,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",1300,"0","0","0","0","0","0","-","0"
1,"S61opo",1,33,1985,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",400,"0","0","0","0","0","0","-","0"
1,"S61opo",1,34,1989,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",700,"0","0","0","0","0","0","-","0"
1,"S61opo",1,35,1993,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",163,"0",207,"0","0","0","0","-","0"
1,"S61opo",1,36,1994,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",150,"0",145,"0","0","0","0","-","0"
1,"S61opo",1,37,1995,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB","0","0",82,"0","0","0","0","-","0"
1,"S61opo",1,38,1996,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",44,"0","0","0","0","0","0","-","0"
1,"S61opo",1,39,1997,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",14,"0","0","0","0","0","0","-","0"
1,"S61opo",1,40,1998,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",14,"0",5,"0","0","0","0","-","0"
1,"S61opo",1,41,1999,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",11,"0",5,"0","0","0","0","-","0"
1,"S61opo",1,42,2000,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",11,"0","0","0","0","0","0","-","0"
1,"S61opo",1,43,2001,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",10,"0","0","0","0","0","0","-","0"
1,"S61opo",1,44,2002,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",10,"0","0","0","0","0","0","-","0"
1,"S61opo",1,45,2003,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",10,"0","0","0","0","0","0","-","0"
1,"S61opo",1,46,2004,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",10,"0","0","0","0","0","0","-","0"
1,"S61opo",1,47,2005,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",10,"0","0","0","0","0","0","-","0"
1,"S61opo",1,48,2006,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",9,"0","0","0","0","0","0","-","0"
1,"S61opo",1,49,2007,38,"Chile","CHL","CHL",46,"Cuba","CUB","CUB",9,"0","0","0","0","0","0","-","0"
1,"S61opo",1,50,2000,40,"Congo","COB","COG",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,51,1994,41,"Dem. Rep. of the Congo","COD","COD",46,"Cuba","CUB","CUB",6,"0",25,"0","0","0","0","-","0"
1,"S61opo",1,52,1995,41,"Dem. Rep. of the Congo","COD","COD",46,"Cuba","CUB","CUB","0","0",5,"0","0","0","0","-","0"
1,"S61opo",1,53,1996,41,"Dem. Rep. of the Congo","COD","COD",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,54,2016,41,"Dem. Rep. of the Congo","COD","COD",46,"Cuba","CUB","CUB","0",5,"0","0","0","0","0","-","0"
1,"S61opo",1,55,2002,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,56,2003,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,57,2004,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,58,2005,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",10,"0","0","0","0","0","0","-","0"
1,"S61opo",1,59,2006,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",10,"0","0","0","0","0","0","-","0"
1,"S61opo",1,60,2009,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,61,2010,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,62,2011,44,"Colombia","COL","COL",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,63,2021,46,"Cuba","CUB","CUB",46,"Cuba","CUB","CUB","0","0","0","0","0","0",7,"-","0"
1,"S61opo",1,64,2023,46,"Cuba","CUB","CUB",46,"Cuba","CUB","CUB","0","0","0","0","0","0",6,"-","0"
1,"S61opo",1,65,2024,46,"Cuba","CUB","CUB",46,"Cuba","CUB","CUB","0","0","0","0","0","0",5,"-","0"
1,"S61opo",1,66,2025,46,"Cuba","CUB","CUB",46,"Cuba","CUB","CUB","0","0","0","0","0","0",5,"-","0"
1,"S61opo",1,67,2000,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,68,2001,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,69,2007,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",5,"0","0","0","0","0","0","-","0"
1,"S61opo",1,70,2008,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",8,"0","0","0","0","0","0","-","0"
1,"S61opo",1,71,2010,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",5,6,"0","0","0","0","0","-","0"
1,"S61opo",1,72,2011,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",9,"0","0","0","0","0","0","-","0"
1,"S61opo",1,73,2012,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",8,"0","0","0","0","0","0","-","0"
1,"S61opo",1,74,2015,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",16,"0","0","0","0","0","0","-","0"
1,"S61opo",1,75,2016,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",20,"0","0","0","0","0","0","-","0"
1,"S61opo",1,76,2017,56,"Eritrea","ERT","ERI",46,"Cuba","CUB","CUB",20,"0","0","0","0","0","0","-","0"
