"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"AUBf18",1,1,2024,2,"Afghanistan","AFG","AFG",79,"Guinea","GUI","GIN","0",11,"0","0","0","0","0","-","0"
1,"AUBf18",1,2,2025,2,"Afghanistan","AFG","AFG",79,"Guinea","GUI","GIN","0",11,"0","0","0","0","0","-","0"
1,"AUBf18",1,3,2002,4,"Algeria","ALG","DZA",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,4,2003,4,"Algeria","ALG","DZA",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,5,1995,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,6,1996,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,7,1997,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",9,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,8,1998,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",11,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,9,1999,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",9,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,10,2000,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",11,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,11,2001,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",8,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,12,2002,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",8,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,13,2003,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",8,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,14,2004,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,15,2005,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",6,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,16,2006,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",6,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,17,2007,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,18,2008,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,19,2009,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,20,2010,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,21,2011,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,22,2012,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,23,2013,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,24,2014,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,25,2015,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",7,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,26,2016,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,27,2017,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,28,2018,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,29,2019,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",5,"0","0","0","0","0","0","-","0"
1,"AUBf18",1,30,2020,16,"Burundi","BDI","BDI",79,"Guinea","GUI","GIN",6,"0","0","0","0","0","0","-","0"
