"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"3noC3K",1,1,2022,2,"Afghanistan","AFG","AFG",80,"Guyana","GUY","GUY","0",5,"0","0","0","0","0","-","0"
1,"3noC3K",1,2,2023,2,"Afghanistan","AFG","AFG",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,3,2022,32,"Cambodia","CAM","KHM",80,"Guyana","GUY","GUY","0",5,"0","0","0","0","0","-","0"
1,"3noC3K",1,4,2020,39,"Cameroon","CMR","CMR",80,"Guyana","GUY","GUY","0",5,"0","0","0","0","0","-","0"
1,"3noC3K",1,5,2021,39,"Cameroon","CMR","CMR",80,"Guyana","GUY","GUY","0",5,"0","0","0","0","0","-","0"
1,"3noC3K",1,6,2022,39,"Cameroon","CMR","CMR",80,"Guyana","GUY","GUY","0",5,"0","0","0","0","0","-","0"
1,"3noC3K",1,7,2010,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,8,2011,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,9,2012,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,10,2013,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,11,2014,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,12,2015,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,13,2016,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,14,2017,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,15,2018,41,"Dem. Rep. of the Congo","COD","COD",80,"Guyana","GUY","GUY",7,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,16,1972,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",50,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,17,1974,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",200,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,18,2018,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",8,12,"0","0","0","0","0","-","0"
1,"3noC3K",1,19,2019,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",9,57,"0","0","0","0","0","-","0"
1,"3noC3K",1,20,2020,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",18,67,"0","0","0","0","0","-","0"
1,"3noC3K",1,21,2021,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",40,78,"0","0","0","0","0","-","0"
1,"3noC3K",1,22,2022,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",7,128,"0","0","0","0","0","-","0"
1,"3noC3K",1,23,2023,46,"Cuba","CUB","CUB",80,"Guyana","GUY","GUY",5,37,"0","0","0","0","0","-","0"
1,"3noC3K",1,24,2021,80,"Guyana","GUY","GUY",80,"Guyana","GUY","GUY","0","0","0","0","0","0","0","-",5892
1,"3noC3K",1,25,2022,80,"Guyana","GUY","GUY",80,"Guyana","GUY","GUY","0","0","0","0","0","0","0","-",4200
1,"3noC3K",1,26,2021,81,"Haiti","HAI","HTI",80,"Guyana","GUY","GUY","0",11,"0","0","0","0","0","-","0"
1,"3noC3K",1,27,2022,81,"Haiti","HAI","HTI",80,"Guyana","GUY","GUY",5,13,"0","0","0","0","0","-","0"
1,"3noC3K",1,28,2023,81,"Haiti","HAI","HTI",80,"Guyana","GUY","GUY",15,11,"0","0","0","0","0","-","0"
1,"3noC3K",1,29,2017,147,"Pakistan","PAK","PAK",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,30,2018,147,"Pakistan","PAK","PAK",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,31,2019,147,"Pakistan","PAK","PAK",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,32,2020,147,"Pakistan","PAK","PAK",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,33,2013,161,"Rwanda","RWA","RWA",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,34,2014,161,"Rwanda","RWA","RWA",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,35,2015,161,"Rwanda","RWA","RWA",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,36,2016,161,"Rwanda","RWA","RWA",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,37,2017,161,"Rwanda","RWA","RWA",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
1,"3noC3K",1,38,2018,161,"Rwanda","RWA","RWA",80,"Guyana","GUY","GUY",5,"0","0","0","0","0","0","-","0"
